Country Name,Country Code,Indicator Name,Indicator Code," 2,008.00 "," 2,009.00 "," 2,010.00 "," 2,011.00 "," 2,012.00 "," 2,013.00 "," 2,014.00 "," 2,015.00 "," 2,016.00 "," 2,017.00 "," 2,018.00 "," 2,019.00 "," 2,020.00 "
Aruba,ABW,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,327,000,000.00 "," 2,853,000,000.00 "," 2,612,000,000.00 "," 3,095,000,000.00 "," 2,960,000,000.00 "," 3,700,000,000.00 "," 3,839,000,000.00 "," 3,842,000,000.00 "," 3,785,000,000.00 "," 4,012,000,000.00 ",,,
Afghanistan,AFG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,," 103,788,000,000.00 "," 117,523,000,000.00 "," 146,043,000,000.00 "," 120,354,000,000.00 "," 76,611,041,104.00 "," 114,022,000,000.00 "," 87,054,993,175.00 "," 77,104,510,753.00 "," 78,537,680,780.00 "," 116,426,000,000.00 "," 114,976,000,000.00 ",
Angola,AGO,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 4,814,770,000,000.00 "," 3,277,100,000,000.00 "," 4,739,840,000,000.00 "," 6,370,920,000,000.00 "," 6,838,650,000,000.00 "," 6,696,080,000,000.00 "," 6,402,050,000,000.00 "," 4,150,850,000,000.00 "," 4,654,480,000,000.00 "," 5,876,900,000,000.00 "," 10,465,400,000,000.00 ",,
Albania,ALB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 273,437,000,000.00 "," 288,738,000,000.00 "," 346,846,000,000.00 "," 380,322,000,000.00 "," 385,682,000,000.00 "," 390,386,000,000.00 "," 393,657,000,000.00 "," 391,098,000,000.00 "," 426,693,000,000.00 "," 489,536,000,000.00 "," 515,862,000,000.00 "," 528,856,000,000.00 ",
Andorra,AND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Arab World,ARB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
United Arab Emirates,ARE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 913,748,000,000.00 "," 741,694,000,000.00 "," 875,260,000,000.00 "," 1,160,030,000,000.00 "," 1,379,080,000,000.00 "," 1,440,520,000,000.00 "," 1,474,020,000,000.00 "," 1,326,700,000,000.00 "," 1,324,400,000,000.00 "," 1,410,400,000,000.00 "," 1,442,790,000,000.00 "," 1,429,970,000,000.00 ",
Argentina,ARG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 253,622,000,000.00 "," 244,107,000,000.00 "," 314,627,000,000.00 "," 402,013,000,000.00 "," 428,341,000,000.00 "," 489,428,000,000.00 "," 659,639,000,000.00 "," 637,469,000,000.00 "," 1,030,750,000,000.00 "," 1,196,760,000,000.00 "," 2,085,780,000,000.00 "," 3,743,390,000,000.00 ",
Armenia,ARM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 509,034,000,000.00 "," 460,909,000,000.00 "," 683,335,000,000.00 "," 850,914,000,000.00 "," 1,176,120,000,000.00 "," 1,291,940,000,000.00 "," 1,379,300,000,000.00 "," 1,499,370,000,000.00 "," 1,679,710,000,000.00 "," 2,077,200,000,000.00 "," 2,270,300,000,000.00 "," 2,530,540,000,000.00 ",
American Samoa,ASM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 641,000,000.00 "," 530,000,000.00 "," 364,000,000.00 "," 335,000,000.00 "," 482,000,000.00 "," 457,000,000.00 "," 426,000,000.00 "," 427,000,000.00 "," 427,000,000.00 "," 362,000,000.00 "," 438,000,000.00 ",,
Antigua and Barbuda,ATG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 1,688,495,400.00 "," 1,516,383,500.00 "," 1,414,351,500.00 "," 1,451,940,500.00 "," 1,467,000,000.00 "," 1,473,000,000.00 "," 1,595,000,000.00 "," 1,625,922,600.00 "," 1,644,000,000.00 ",,,,
Australia,AUS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 237,366,000,000.00 "," 289,894,000,000.00 "," 257,770,000,000.00 "," 303,673,000,000.00 "," 322,096,000,000.00 "," 306,588,000,000.00 "," 336,322,000,000.00 "," 324,674,000,000.00 "," 319,705,000,000.00 "," 373,769,000,000.00 "," 403,360,000,000.00 "," 469,891,000,000.00 ",
Austria,AUT,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 156,425,000,000.00 "," 130,217,000,000.00 "," 151,683,000,000.00 "," 167,310,000,000.00 "," 171,989,000,000.00 "," 173,102,000,000.00 "," 177,855,000,000.00 "," 182,769,000,000.00 "," 187,408,000,000.00 "," 200,099,000,000.00 "," 215,057,000,000.00 "," 222,152,000,000.00 ",
Azerbaijan,AZE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 26,400,700,000.00 "," 18,383,100,000.00 "," 23,060,500,000.00 "," 29,388,300,000.00 "," 29,000,300,000.00 "," 28,169,300,000.00 "," 25,537,500,000.00 "," 20,552,800,000.00 "," 28,054,000,000.00 "," 34,147,500,000.00 "," 43,323,600,000.00 "," 40,170,400,000.00 ",
Burundi,BDI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 200,670,000,000.00 "," 144,640,000,000.00 "," 242,602,000,000.00 "," 248,119,000,000.00 "," 326,484,000,000.00 "," 346,938,000,000.00 "," 318,203,000,000.00 "," 279,757,000,000.00 "," 325,784,000,000.00 "," 408,347,000,000.00 "," 509,018,000,000.00 "," 507,656,000,000.00 ",
Belgium,BEL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 284,492,000,000.00 "," 238,491,000,000.00 "," 275,442,000,000.00 "," 303,396,000,000.00 "," 310,502,000,000.00 "," 311,650,000,000.00 "," 321,601,000,000.00 "," 324,216,000,000.00 "," 341,615,000,000.00 "," 367,409,000,000.00 "," 379,700,000,000.00 "," 386,648,000,000.00 ",
Benin,BEN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 966,516,000,000.00 "," 912,703,000,000.00 "," 1,088,550,000,000.00 "," 1,050,660,000,000.00 "," 1,359,320,000,000.00 "," 1,704,570,000,000.00 "," 2,061,650,000,000.00 "," 1,664,380,000,000.00 "," 1,933,920,000,000.00 "," 2,006,490,000,000.00 "," 2,160,670,000,000.00 "," 2,498,520,000,000.00 ",
Burkina Faso,BFA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 427,829,000,000.00 "," 612,865,000,000.00 "," 1,026,240,000,000.00 "," 1,491,260,000,000.00 "," 1,705,760,000,000.00 "," 1,797,950,000,000.00 "," 1,854,120,000,000.00 "," 1,826,310,000,000.00 "," 1,970,940,000,000.00 "," 2,165,580,000,000.00 "," 2,505,810,000,000.00 "," 2,558,300,000,000.00 ",
Bangladesh,BGD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 1,110,180,000,000.00 "," 1,194,400,000,000.00 "," 1,277,990,000,000.00 "," 1,824,520,000,000.00 "," 2,127,460,000,000.00 "," 2,342,440,000,000.00 "," 2,551,590,000,000.00 "," 2,627,900,000,000.00 "," 2,885,170,000,000.00 "," 2,970,860,000,000.00 "," 3,330,930,000,000.00 "," 3,895,910,000,000.00 ",
Bulgaria,BGR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 38,228,426,000.00 "," 30,896,373,000.00 "," 37,519,434,000.00 "," 47,703,566,000.00 "," 49,879,894,000.00 "," 53,113,162,000.00 "," 54,361,840,000.00 "," 57,164,722,000.00 "," 60,926,365,000.00 "," 68,856,887,000.00 "," 72,245,316,000.00 "," 75,442,408,000.00 ",
Bahrain,BHR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 7,983,000,000.00 "," 5,905,000,000.00 "," 6,723,000,000.00 "," 10,757,100,000.00 "," 11,809,800,000.00 "," 12,822,700,000.00 "," 12,058,000,000.00 "," 9,702,800,000.00 "," 8,993,400,000.00 "," 10,107,600,000.00 "," 11,264,600,000.00 ",,
"Bahamas, The",BHS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 4,157,100,000.00 "," 3,412,900,000.00 "," 3,528,800,000.00 "," 3,769,900,000.00 "," 4,087,400,000.00 "," 4,245,700,000.00 "," 4,149,100,000.00 "," 4,125,100,000.00 "," 4,211,200,000.00 "," 4,192,100,000.00 "," 4,482,800,000.00 ",,
Bosnia and Herzegovina,BIH,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 6,851,448,000.00 "," 6,201,956,000.00 "," 7,532,260,000.00 "," 8,403,439,000.00 "," 8,483,188,000.00 "," 9,035,967,000.00 "," 9,296,528,000.00 "," 9,969,309,000.00 "," 10,659,828,000.00 "," 12,811,102,000.00 "," 14,087,202,000.00 "," 14,063,687,000.00 ",
Belarus,BLR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 7,909,160,000.00 "," 6,944,920,000.00 "," 8,757,320,000.00 "," 24,108,090,000.00 "," 43,139,550,000.00 "," 39,123,660,000.00 "," 44,271,060,000.00 "," 52,157,370,000.00 "," 59,352,000,000.00 "," 70,628,800,000.00 "," 86,180,400,000.00 "," 87,657,300,000.00 ",
Belize,BLZ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 1,707,257,300.00 "," 1,380,381,800.00 "," 1,626,587,400.00 "," 1,829,477,800.00 "," 1,963,103,300.00 "," 2,064,608,200.00 "," 2,072,426,400.00 "," 2,027,722,000.00 "," 1,867,493,300.00 "," 2,019,388,900.00 "," 2,159,452,600.00 "," 2,169,158,700.00 ",
Bermuda,BMU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,," 2,699,314,000.00 "," 2,704,649,000.00 "," 2,644,231,000.00 "," 2,589,439,000.00 "," 2,656,891,000.00 ",,,,,,,
Bolivia,BOL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 54,199,413,000.00 "," 43,483,989,000.00 "," 56,787,439,000.00 "," 73,294,325,000.00 "," 88,273,367,000.00 "," 93,412,577,000.00 "," 98,709,824,000.00 "," 70,389,398,000.00 "," 57,432,499,000.00 "," 64,547,736,000.00 "," 72,349,595,000.00 "," 70,554,158,000.00 ",
Brazil,BRA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 420,881,000,000.00 "," 361,680,000,000.00 "," 422,220,000,000.00 "," 506,895,000,000.00 "," 571,876,000,000.00 "," 626,051,000,000.00 "," 636,375,000,000.00 "," 773,468,000,000.00 "," 781,577,000,000.00 "," 824,434,000,000.00 "," 1,025,780,000,000.00 "," 1,039,370,000,000.00 ",
Barbados,BRB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 4,654,119,500.00 "," 3,892,182,400.00 "," 4,209,202,500.00 "," 4,142,350,200.00 "," 3,928,351,600.00 "," 3,926,864,700.00 "," 3,787,407,800.00 "," 3,908,091,700.00 "," 4,166,584,500.00 "," 4,200,595,100.00 "," 4,200,187,400.00 "," 4,376,406,000.00 ",
Brunei Darussalam,BRN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 15,971,400,000.00 "," 11,362,400,000.00 "," 12,598,456,000.00 "," 16,197,000,000.00 "," 16,700,000,000.00 "," 15,404,000,000.00 "," 14,769,610,000.00 "," 9,282,000,000.00 "," 7,807,371,200.00 "," 8,302,377,800.00 "," 9,504,125,900.00 "," 10,647,577,271.00 ",
Bhutan,BTN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 26,709,740,000.00 "," 27,367,000,000.00 "," 30,777,000,000.00 "," 35,004,000,000.00 "," 37,739,000,000.00 "," 42,636,000,000.00 "," 43,589,875,500.00 "," 44,261,735,300.00 "," 42,966,168,200.00 "," 48,004,252,100.00 "," 51,570,338,900.00 ",,
Botswana,BWA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 34,128,000,000.00 "," 25,565,600,000.00 "," 37,905,000,000.00 "," 52,438,000,000.00 "," 54,112,000,000.00 "," 77,000,673,800.00 "," 85,284,700,000.00 "," 72,763,700,000.00 "," 89,650,300,000.00 "," 71,446,900,000.00 "," 76,789,000,000.00 "," 66,257,900,000.00 ",
Central African Republic,CAF,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 97,829,181,400.00 "," 95,688,000,000.00 "," 123,250,000,000.00 "," 150,825,000,000.00 "," 148,022,000,000.00 "," 125,092,000,000.00 "," 156,015,000,000.00 "," 171,119,000,000.00 "," 160,301,000,000.00 "," 207,691,000,000.00 "," 232,955,000,000.00 "," 242,688,000,000.00 ",
Canada,CAN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 569,939,000,000.00 "," 448,079,000,000.00 "," 485,942,000,000.00 "," 544,254,000,000.00 "," 554,612,000,000.00 "," 576,989,000,000.00 "," 633,112,000,000.00 "," 633,955,000,000.00 "," 638,095,000,000.00 "," 672,533,000,000.00 "," 713,351,000,000.00 "," 729,050,000,000.00 ",
Central Europe and the Baltics,CEB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Switzerland,CHE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 376,237,000,000.00 "," 337,209,000,000.00 "," 389,443,000,000.00 "," 406,708,000,000.00 "," 419,908,000,000.00 "," 459,008,000,000.00 "," 417,598,000,000.00 "," 407,054,000,000.00 "," 434,901,000,000.00 "," 435,421,000,000.00 "," 455,992,000,000.00 "," 461,380,000,000.00 ",
Channel Islands,CHI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 38,878,300,000,000.00 "," 35,813,400,000,000.00 "," 42,089,100,000,000.00 "," 46,071,900,000,000.00 "," 44,340,400,000,000.00 "," 44,395,400,000,000.00 "," 49,202,400,000,000.00 "," 46,870,900,000,000.00 "," 47,722,400,000,000.00 "," 51,121,700,000,000.00 "," 54,673,800,000,000.00 "," 55,960,100,000,000.00 ",
China,CHN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 10,408,200,000,000.00 "," 8,625,760,000,000.00 "," 11,203,600,000,000.00 "," 12,963,700,000,000.00 "," 13,729,800,000,000.00 "," 14,586,500,000,000.00 "," 15,130,200,000,000.00 "," 14,709,900,000,000.00 "," 14,617,700,000,000.00 "," 16,384,700,000,000.00 "," 17,569,400,000,000.00 "," 18,247,000,000,000.00 ",
Cote d'Ivoire,CIV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 5,111,170,000,000.00 "," 5,829,700,000,000.00 "," 6,240,330,000,000.00 "," 6,445,870,000,000.00 "," 6,692,160,000,000.00 "," 6,414,790,000,000.00 "," 6,857,750,000,000.00 "," 7,409,580,000,000.00 "," 6,990,870,000,000.00 "," 7,464,830,000,000.00 "," 7,245,000,000,000.00 "," 8,098,950,000,000.00 ",
Cameroon,CMR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,436,490,000,000.00 "," 2,629,460,000,000.00 "," 2,870,950,000,000.00 "," 3,589,810,000,000.00 "," 3,880,800,000,000.00 "," 4,086,060,000,000.00 "," 4,308,380,000,000.00 "," 4,070,270,000,000.00 "," 3,721,820,000,000.00 "," 3,777,810,000,000.00 "," 4,151,000,000,000.00 "," 3,760,180,000,000.00 ",
"Congo, Dem. Rep.",COD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 4,319,430,000,000.00 "," 4,049,200,000,000.00 "," 8,031,750,000,000.00 "," 9,388,680,000,000.00 "," 8,302,810,000,000.00 "," 10,952,400,000,000.00 "," 12,237,100,000,000.00 "," 9,734,790,000,000.00 "," 8,987,830,000,000.00 "," 19,626,100,000,000.00 "," 26,091,400,000,000.00 "," 25,001,900,000,000.00 ",
"Congo, Rep.",COG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,990,940,000,000.00 "," 3,189,890,000,000.00 "," 5,062,260,000,000.00 "," 5,941,320,000,000.00 "," 5,849,980,000,000.00 "," 5,325,870,000,000.00 "," 5,116,030,000,000.00 "," 3,504,480,000,000.00 "," 3,561,450,000,000.00 "," 4,762,790,000,000.00 "," 6,337,040,000,000.00 "," 4,910,110,000,000.00 ",
Colombia,COL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 86,302,000,000,000.00 "," 82,381,000,000,000.00 "," 88,904,000,000,000.00 "," 119,326,000,000,000.00 "," 125,378,000,000,000.00 "," 129,154,000,000,000.00 "," 126,907,000,000,000.00 "," 125,936,000,000,000.00 "," 127,124,000,000,000.00 "," 139,408,000,000,000.00 "," 156,703,000,000,000.00 "," 168,849,000,000,000.00 ",
Comoros,COM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 25,181,000,000.00 "," 29,736,000,000.00 "," 32,478,000,000.00 "," 36,002,000,000.00 "," 34,798,000,000.00 "," 37,413,000,000.00 "," 41,194,000,000.00 "," 43,418,000,000.00 "," 48,045,000,000.00 "," 55,843,000,000.00 "," 65,042,000,000.00 ",,
Cabo Verde,CPV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 49,698,251,000.00 "," 42,227,756,500.00 "," 45,270,775,400.00 "," 52,541,480,200.00 "," 60,789,735,600.00 "," 62,246,267,800.00 "," 62,332,026,000.00 "," 71,267,713,200.00 "," 73,324,941,000.00 "," 79,491,195,800.00 "," 90,436,454,800.00 "," 99,288,526,000.00 ",
Costa Rica,CRI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 6,290,130,000,000.00 "," 6,104,340,000,000.00 "," 6,500,880,000,000.00 "," 7,021,690,000,000.00 "," 7,518,480,000,000.00 "," 7,789,680,000,000.00 "," 8,782,030,000,000.00 "," 9,025,970,000,000.00 "," 9,993,330,000,000.00 "," 10,874,100,000,000.00 "," 11,696,900,000,000.00 "," 12,245,400,000,000.00 ",
Caribbean small states,CSS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Cuba,CUB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 12,506,400,000.00 "," 10,839,000,000.00 "," 14,519,000,000.00 "," 17,319,000,000.00 "," 18,659,000,000.00 "," 18,593,000,000.00 "," 17,812,000,000.00 "," 14,941,000,000.00 "," 13,690,000,000.00 "," 14,083,000,000.00 "," 14,505,000,000.00 ",,
Curacao,CUW,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 3,523,300,000.00 "," 3,116,600,000.00 "," 2,934,100,000.00 "," 3,863,000,000.00 "," 4,241,900,000.00 "," 3,885,500,000.00 "," 4,084,200,000.00 ",,,,,,
Cayman Islands,CYM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Cyprus,CYP,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 9,520,300,000.00 "," 9,099,100,000.00 "," 9,778,696,000.00 "," 10,593,664,000.00 "," 10,753,133,000.00 "," 11,041,768,000.00 "," 11,508,638,000.00 "," 12,536,961,000.00 "," 13,352,616,000.00 "," 14,632,044,000.00 "," 15,444,400,000.00 "," 15,607,400,000.00 ",
Czech Republic,CZE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 2,544,300,000,000.00 "," 2,306,530,000,000.00 "," 2,616,400,000,000.00 "," 2,876,360,000,000.00 "," 3,092,440,000,000.00 "," 3,150,270,000,000.00 "," 3,560,850,000,000.00 "," 3,724,850,000,000.00 "," 3,793,200,000,000.00 "," 4,023,990,000,000.00 "," 4,177,140,000,000.00 "," 4,266,870,000,000.00 ",
Germany,DEU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 1,115,340,000,000.00 "," 932,310,000,000.00 "," 1,091,550,000,000.00 "," 1,213,640,000,000.00 "," 1,271,270,000,000.00 "," 1,276,880,000,000.00 "," 1,335,470,000,000.00 "," 1,419,550,000,000.00 "," 1,442,410,000,000.00 "," 1,538,040,000,000.00 "," 1,585,770,000,000.00 "," 1,613,460,000,000.00 ",
Djibouti,DJI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,," 568,315,000,000.00 "," 623,353,000,000.00 "," 610,974,000,000.00 "," 465,572,000,000.00 "," 722,865,000,000.00 "," 798,759,000,000.00 "," 912,502,000,000.00 ",
Dominica,DMA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 423,181,000.00 "," 399,462,800.00 "," 484,062,700.00 "," 531,061,400.00 "," 445,665,800.00 "," 471,754,800.00 "," 480,578,000.00 "," 695,451,500.00 "," 718,468,400.00 "," 569,879,200.00 "," 443,392,700.00 "," 829,842,000.00 ",
Denmark,DNK,Exports of goods and services (current LCU),NE.EXP.GNFS.CN," 975,961,000,000.00 "," 811,578,000,000.00 "," 914,933,000,000.00 "," 993,979,000,000.00 "," 1,035,250,000,000.00 "," 1,058,020,000,000.00 "," 1,081,980,000,000.00 "," 1,128,510,000,000.00 "," 1,126,120,000,000.00 "," 1,199,330,000,000.00 "," 1,249,690,000,000.00 "," 1,296,950,000,000.00 ",
